sinograma,1,2,3,4,5,6,total
不,3,0,1,8,16,36,64
子,4,2,10,11,20,11,58
心,0,0,4,6,13,18,41
气,2,0,1,4,6,26,39
发,0,0,4,5,10,19,38
人,1,0,2,0,15,16,34
理,0,0,1,6,10,17,34
生,3,2,1,6,7,14,33
动,0,1,1,4,8,19,33
实,0,0,1,4,12,16,33
力,0,0,1,4,5,22,32
一,2,3,7,1,8,10,31
成,0,0,2,3,13,12,30
分,1,0,1,3,8,14,27
意,0,1,4,5,2,15,27
大,1,1,0,4,9,11,26
事,0,1,2,0,6,17,26
时,1,2,0,7,8,7,25
公,0,2,3,2,7,11,25
得,0,2,1,5,5,12,25
然,0,1,3,5,8,8,25
体,0,1,1,0,8,15,25
行,0,0,3,5,4,13,25
无,0,0,0,3,3,19,25
面,2,1,2,2,6,11,24
打,1,1,2,6,4,10,24
手,0,2,1,0,9,12,24
地,0,0,4,3,9,8,24
开,1,1,1,2,7,11,23
对,1,1,0,4,9,8,23
明,1,0,2,2,8,10,23
重,0,0,1,6,3,13,23
合,0,0,0,4,11,8,23
方,0,0,3,3,7,9,22
机,1,2,3,1,1,13,21
出,1,1,0,5,6,8,21
过,0,1,4,4,4,8,21
道,0,1,1,3,6,10,21
正,0,1,0,5,3,12,21
自,0,0,2,3,9,7,21
定,0,0,2,2,6,11,21
业,0,0,1,3,9,8,21
当,0,0,1,2,4,14,21
主,0,0,1,1,9,10,21
解,0,0,2,2,1,15,20
来,1,0,2,7,2,7,19
作,1,0,1,4,6,7,19
情,0,1,1,5,3,9,19
天,4,0,1,1,2,10,18
本,1,0,1,1,5,10,18
可,0,2,1,3,4,8,18
要,0,1,4,2,4,7,18
相,0,0,2,3,5,8,18
文,0,0,2,1,7,8,18
平,0,0,1,1,10,6,18
反,0,0,0,2,6,10,18
制,0,0,0,0,7,11,18
儿,4,0,1,1,3,8,17
会,1,0,3,4,3,6,17
现,1,0,1,2,6,7,17
视,1,0,0,1,2,13,17
报,0,1,0,1,5,10,17
于,0,0,2,3,6,6,17
物,0,0,2,2,7,6,17
风,0,0,1,0,5,11,17
利,0,0,0,2,7,8,17
光,0,0,0,2,4,11,17
精,0,0,0,1,2,14,17
立,0,0,0,0,5,12,17
学,4,0,2,2,6,2,16
上,2,3,2,0,1,8,16
和,1,0,0,1,1,13,16
经,0,1,3,3,4,5,16
长,0,1,2,2,5,6,16
别,0,1,2,2,3,8,16
表,0,1,0,4,7,4,16
节,0,0,3,2,3,8,16
信,0,0,2,5,2,7,16
结,0,0,2,2,5,7,16
干,0,0,1,3,4,8,16
保,0,0,0,2,4,10,16
代,0,0,0,0,7,9,16
点,2,0,0,5,3,5,15
起,1,2,2,1,2,7,15
家,1,1,1,2,4,6,15
为,0,2,3,2,2,6,15
感,0,0,2,4,4,5,15
用,0,0,2,2,7,4,15
化,0,0,2,0,2,11,15
空,0,0,1,3,3,8,15
口,0,0,1,1,6,7,15
通,0,0,0,4,2,9,15
交,0,0,0,3,5,7,15
度,0,0,0,3,4,8,15
收,0,0,0,3,3,9,15
流,0,0,0,3,3,9,15
观,0,0,0,2,7,6,15
水,2,0,1,1,2,8,14
见,2,0,1,1,2,8,14
好,1,1,1,6,3,2,14
高,1,1,1,1,2,8,14
话,1,1,0,3,4,5,14
能,1,1,0,1,3,8,14
后,1,0,3,1,3,6,14
工,1,0,0,1,8,4,14
想,1,0,0,1,6,6,14
期,1,0,0,1,5,7,14
以,0,2,1,2,2,7,14
日,0,2,1,1,6,4,14
常,0,1,1,1,5,6,14
望,0,1,0,1,3,9,14
记,0,0,3,2,3,6,14
法,0,0,1,4,2,7,14
而,0,0,1,2,3,8,14
目,0,0,1,1,5,7,14
调,0,0,1,1,5,7,14
论,0,0,0,2,6,6,14
失,0,0,0,2,5,7,14
领,0,0,0,0,4,10,14
年,1,1,2,1,3,5,13
服,1,1,1,0,4,6,13
关,1,0,4,1,3,4,13
爱,1,0,2,1,7,2,13
名,1,0,1,2,3,6,13
间,0,2,2,1,2,6,13
问,0,2,0,0,5,6,13
着,0,1,1,2,2,7,13
乐,0,1,1,0,4,7,13
外,0,1,0,1,5,6,13
务,0,1,0,1,4,7,13
进,0,1,0,1,4,7,13
照,0,0,4,2,2,5,13
难,0,0,2,3,2,6,13
提,0,0,1,4,3,5,13
应,0,0,1,2,4,6,13
格,0,0,0,5,4,4,13
性,0,0,0,2,2,9,13
导,0,0,0,1,5,7,13
指,0,0,0,1,4,8,13
神,0,0,0,0,3,10,13
小,2,1,1,3,3,2,12
有,2,0,2,2,1,5,12
中,2,0,2,1,4,3,12
车,1,2,1,1,6,1,12
同,1,0,2,4,2,3,12
前,1,0,1,1,3,6,12
先,1,0,1,1,1,8,12
到,0,1,2,3,4,2,12
新,0,1,2,1,0,8,12
件,0,1,1,1,5,4,12
告,0,1,0,1,3,7,12
备,0,1,0,0,3,8,12
放,0,0,2,3,2,5,12
包,0,0,2,1,3,6,12
接,0,0,1,3,4,4,12
复,0,0,1,2,4,5,12
安,0,0,1,2,4,5,12
位,0,0,1,1,4,6,12
头,0,0,1,0,4,7,12
确,0,0,0,3,4,5,12
