caracter,qtd
不,64
子,58
心,41
气,39
发,38
人,34
理,34
动,33
实,33
生,33
力,32
一,31
成,30
分,27
意,27
大,26
事,26
时,25
得,25
无,25
公,25
然,25
行,25
体,25
面,24
手,24
打,24
地,24
开,23
明,23
对,23
合,23
重,23
方,22
机,21
过,21
定,21
正,21
出,21
当,21
道,21
自,21
业,21
主,21
解,20
情,19
作,19
来,19
天,18
制,18
相,18
要,18
文,18
反,18
可,18
平,18
本,18
精,17
风,17
现,17
光,17
视,17
物,17
于,17
儿,17
利,17
会,17
立,17
报,17
节,16
表,16
代,16
干,16
长,16
别,16
上,16
结,16
经,16
信,16
保,16
学,16
和,16
观,15
家,15
空,15
用,15
口,15
度,15
化,15
通,15
感,15
流,15
为,15
交,15
点,15
收,15
起,15
日,14
高,14
目,14
能,14
论,14
记,14
想,14
见,14
失,14
而,14
后,14
好,14
法,14
水,14
望,14
调,14
常,14
工,14
话,14
以,14
期,14
领,14
务,13
问,13
年,13
名,13
性,13
指,13
格,13
应,13
间,13
服,13
进,13
关,13
难,13
爱,13
提,13
着,13
外,13
神,13
照,13
导,13
乐,13
告,12
质,12
接,12
包,12
车,12
布,12
复,12
中,12
前,12
备,12
有,12
新,12
到,12
品,12
放,12
小,12
确,12
件,12
安,12
头,12
先,12
密,12
示,12
传,12
同,12
位,12
致,11
待,11
量,11
受,11
场,11
消,11
求,11
原,11
容,11
证,11
命,11
任,11
象,11
标,11
如,11
是,11
急,11
向,11
预,11
势,11
清,11
除,11
往,11
资,11
争,11
固,11
电,11
果,11
足,11
热,10
周,10
其,10
演,10
国,10
说,10
支,10
特,10
活,10
认,10
言,10
身,10
规,10
教,10
护,10
装,10
转,10
商,10
推,10
步,10
局,10
比,10
态,10
留,10
思,10
便,10
及,10
念,10
色,10
民,10
总,10
验,10
产,10
程,10
严,10
美,10
真,10
断,10
式,10
充,10
议,9
设,9
统,9
助,9
优,9
次,9
从,9
绝,9
请,9
展,9
题,9
顾,9
全,9
火,9
之,9
条,9
取,9
压,9
历,9
边,9
达,9
举,9
单,9
差,9
书,9
运,9
近,9
了,9
快,9
害,9
员,9
算,9
所,9
计,9
料,9
随,9
决,9
数,9
字,9
多,9
兴,9
老,9
在,9
切,9
觉,9
极,8
采,8
假,8
味,8
形,8
激,8
苦,8
样,8
简,8
折,8
坚,8
等,8
满,8
深,8
专,8
习,8
元,8
术,8
据,8
亲,8
金,8
广,8
礼,8
养,8
落,8
免,8
强,8
处,8
义,8
语,8
选,8
加,8
完,8
知,8
部,8
考,8
音,8
刻,8
器,8
模,8
功,8
油,8
使,8
系,8
盛,8
直,8
止,8
回,8
联,8
细,7
排,7
托,7
尽,7
眼,7
录,7
种,7
息,7
张,7
士,7
片,7
客,7
变,7
恶,7
负,7
声,7
独,7
号,7
持,7
威,7
管,7
素,7
裁,7
职,7
索,7
烈,7
约,7
级,7
源,7
忙,7
投,7
必,7
花,7
端,7
承,7
至,7
吃,7
球,7
票,7
世,7
案,7
修,7
非,7
防,7
协,7
价,7
列,7
下,7
还,7
造,7
故,7
智,7
沉,7
散,7
配,7
改,7
迷,7
连,7
共,7
整,7
准,7
内,7
个,7
迫,7
背,6
称,6
迹,6
首,6
试,6
育,6
识,6
责,6
劳,6
办,6
律,6
东,6
剧,6
误,6
治,6
登,6
愿,6
操,6
白,6
延,6
建,6
例,6
策,6
判,6
废,6
虚,6
权,6
军,6
率,6
具,6
荣,6
范,6
冷,6
销,6
克,6
图,6
因,6
善,6
太,6
救,6
序,6
效,6
奇,6
政,6
战,6
候,6
灵,6
讨,6
杂,6
临,6
依,6
呼,6
射,6
看,6
款,6
少,6
笑,6
游,6
就,6
静,6
华,6
终,6
志,6
练,6
纪,6
台,6
繁,6
彩,6
离,6
紧,6
古,6
根,6
轻,6
食,6
答,6
探,6
海,6
参,6
区,6
再,6
注,6
迟,6
贵,6
且,6
缺,6
维,6
续,6
带,6
像,5
益,5
米,5
破,5
馆,5
施,5
班,5
师,5
陷,5
惜,5
门,5
乱,5
皮,5
夫,5
斗,5
封,5
入,5
玩,5
盖,5
基,5
亏,5
最,5
置,5
批,5
典,5
惊,5
隐,5
飞,5
月,5
才,5
怀,5
偿,5
集,5
此,5
怪,5
者,5
界,5
景,5
露,5
限,5
忍,5
母,5
略,5
伙,5
存,5
么,5
疑,5
零,5
促,5
将,5
俗,5
幸,5
微,5
顺,5
由,5
病,5
码,5
石,5
航,5
纳,5
户,5
偏,5
毛,5
恐,5
属,5
型,5
残,5
倒,5
网,5
显,5
腐,5
费,5
座,5
超,5
创,5
担,5
否,5
材,5
走,5
究,5
则,5
弱,5
越,5
司,5
划,5
束,5
抱,5
趣,5
博,5
击,5
敏,5
架,5
初,5
私,5
许,5
赞,5
适,5
响,5
财,5
谢,5
默,5
播,5
勇,5
途,5
拜,5
勤,5
引,5
招,5
远,5
拔,5
积,5
遗,5
启,5
温,5
退,5
即,5
状,5
影,5
辩,5
土,5
醒,5
西,5
圆,5
去,5
补,5
团,5
征,5
厚,5
敬,5
围,5
淡,5
似,4
雄,4
福,4
富,4
辞,4
跟,4
挥,4
住,4
缓,4
浪,4
北,4
测,4
弟,4
巧,4
挑,4
灭,4
秘,4
追,4
审,4
星,4
宣,4
构,4
更,4
隔,4
盘,4
障,4
忽,4
武,4
何,4
悬,4
类,4
轮,4
硬,4
漫,4
居,4
励,4
午,4
吐,4
靠,4
份,4
项,4
层,4
组,4
省,4
与,4
概,4
短,4
令,4
路,4
跃,4
占,4
万,4
弹,4
卫,4
印,4
吸,4
亮,4
科,4
鼓,4
频,4
怕,4
伤,4
欣,4
顿,4
欢,4
尚,4
今,4
档,4
只,4
混,4
突,4
降,4
誉,4
艺,4
释,4
壮,4
钱,4
英,4
珍,4
凉,4
闭,4
酒,4
偶,4
停,4
被,4
览,4
良,4
丰,4
奋,4
角,4
奖,4
套,4
鲜,4
易,4
况,4
草,4
借,4
执,4
把,4
培,4
冒,4
犯,4
扰,4
底,4
扬,4
农,4
扩,4
鉴,4
扎,4
麻,4
野,4
营,4
抗,4
境,4
环,4
针,4
冲,4
坏,4
女,4
增,4
肥,4
际,4
守,4
婚,4
警,4
股,4
查,4
阻,4
章,4
附,4
幕,4
诚,4
逐,4
陈,4
课,4
百,4
季,4
谈,4
埋,4
耐,4
没,4
险,4
宁,4
遇,4
闻,4
旧,4
站,4
妙,4
喜,4
阳,4
画,4
讲,4
姑,4
移,4
官,4
并,4
染,4
胡,4
评,4
异,4
胜,4
拥,4
朝,3
循,3
磨,3
未,3
忘,3
祝,3
祖,3
社,3
径,3
朗,3
掩,3
碍,3
摸,3
按,3
波,3
挂,3
拼,3
烂,3
烟,3
烦,3
熟,3
沙,3
爆,3
攻,3
抽,3
牙,3
抵,3
牛,3
灰,3
潮,3
抢,3
潜,3
涉,3
握,3
派,3
搏,3
添,3
授,3
搭,3
洗,3
摆,3
摇,3
洁,3
换,3
损,3
摩,3
振,3
敢,3
牵,3
忧,3
疲,3
段,3
的,3
惠,3
惑,3
监,3
悲,3
悟,3
恰,3
普,3
恨,3
怨,3
检,3
桥,3
暴,3
曲,3
疼,3
疏,3
污,3
慈,3
技,3
献,3
汇,3
毫,3
旋,3
族,3
房,3
润,3
毕,3
戒,3
毒,3
慰,3
畅,3
慢,3
早,3
截,3
委,3
禁,3
夜,3
归,3
贴,3
吹,3
赖,3
听,3
含,3
赛,3
吞,3
赶,3
各,3
右,3
踪,3
较,3
双,3
友,3
辅,3
输,3
厉,3
迁,3
危,3
卡,3
南,3
卖,3
迎,3
千,3
十,3
述,3
货,3
败,3
貌,3
坦,3
荒,3
获,3
菜,3
著,3
塑,3
藏,3
虎,3
虑,3
城,3
蛋,3
融,3
血,3
困,3
豪,3
园,3
四,3
喻,3
让,3
训,3
访,3
诉,3
词,3
读,3
哪,3
谅,3
谋,3
勃,3
透,3
速,3
予,3
伟,3
震,3
众,3
休,3
青,3
革,3
付,3
须,3
介,3
额,3
饰,3
饱,3
乡,3
低,3
香,3
马,3
骗,3
乎,3
久,3
丽,3
丢,3
丝,3
黄,3
黑,3
三,3
齐,3
伴,3
余,3
削,3
镜,3
刺,3
遍,3
遭,3
避,3
凝,3
醉,3
冰,3
里,3
写,3
铁,3
锁,3
镇,3
储,3
陶,3
闲,3
健,3
倾,3
值,3
倡,3
阔,3
队,3
阵,3
阶,3
陆,3
院,3
供,3
茫,3
贯,3
粉,3
胸,3
竞,3
竟,3
脑,3
翻,3
席,3
脉,3
尝,3
始,3
崇,3
给,3
翼,3
绕,3
耀,3
市,3
胞,3
庄,3
织,3
宗,3
签,3
巴,3
已,3
籍,3
线,3
纷,3
粗,3
糊,3
纯,3
岁,3
聚,3
红,3
室,3
姐,3
奶,3
妥,3
